Date,Time,L,R,Bottle,Amount,Breast,Formula,Food,Quantity,Response,Notes
2016-08-14,3:39:27 PM,1170.08,,,,,,,,,
2016-08-14,2:59:29 PM,961,,,,,,,,,
2016-08-14,12:23:29 PM,,1474,,,,,,,,
2016-08-14,11:28:01 AM,1004,,,,,,,,,
2016-08-14,9:45:53 AM,,933.9803,,,,,,,,
2016-08-14,8:20:26 AM,690,,,,,,,,,
2016-08-14,7:08:49 AM,,1302,,,,,,,,
2016-08-14,5:44:37 AM,1080,,,,,,,,,
2016-08-14,2:51:21 AM,,842,,,,,,,,
2016-08-13,8:15:12 PM,1200,,,,,,,,,
2016-08-13,7:03:58 PM,482,968.0822,,,,,,,,
2016-08-13,6:08:43 PM,1662.966,,,,,,,,,
2016-08-13,5:14:02 PM,,1162,,,,,,,,
2016-08-13,3:19:29 PM,196,1337,,,,,,,,
2016-08-13,2:22:00 PM,1245,,,,,,,,,
2016-08-13,12:16:56 PM,,1351,,,,,,,,
2016-08-13,11:19:00 AM,1011,,,,,,,,,
2016-08-13,9:26:45 AM,,660,,,,,,,,
2016-08-13,8:17:13 AM,803.5403,,,,,,,,,
2016-08-13,7:19:06 AM,,1234,,,,,,,,
2016-08-13,3:57:15 AM,1740,,,,,,,,,
2016-08-13,12:07:15 AM,,1367,,,,,,,,
2016-08-12,8:53:04 PM,426,,,,,,,,,
2016-08-12,7:56:02 PM,,537,,,,,,,,
2016-08-12,7:22:08 PM,,289,,,,,,,,
2016-08-12,5:26:09 PM,568,1797,,,,,,,,
2016-08-12,3:43:19 PM,648,,,,,,,,,
2016-08-12,2:35:08 PM,,915.9089,,,,,,,,
2016-08-12,1:16:42 PM,933,,,,,,,,,
2016-08-12,12:33:10 PM,,1279,,,,,,,,
2016-08-12,11:42:27 AM,381,,,,,,,,,
2016-08-12,11:20:40 AM,400,,,,,,,,,
2016-08-12,10:16:13 AM,325,308,,,,,,,,
2016-08-12,9:47:30 AM,670,,,,,,,,,
2016-08-12,8:36:35 AM,,1500,,,,,,,,
2016-08-12,7:01:39 AM,752,,,,,,,,,
2016-08-12,4:57:48 AM,,489,,,,,,,,
2016-08-12,3:49:59 AM,,917,,,,,,,,
2016-08-11,11:47:55 PM,552,2.734365,,,,,,,,
2016-08-11,8:09:36 PM,,1132,,,,,,,,
2016-08-11,6:52:47 PM,1288,,,,,,,,,
2016-08-11,6:29:27 PM,,1200,,,,,,,,
2016-08-11,5:04:33 PM,1456.872,,,,,,,,,
2016-08-11,3:07:22 PM,363,1531.074,,,,,,,,
2016-08-11,2:30:45 PM,,224.0965,,,,,,,,
2016-08-11,1:56:39 PM,699,369,,,,,,,,
2016-08-11,1:03:45 PM,403,,,,,,,,,
2016-08-11,12:47:02 PM,,900,,,,,,,,
2016-08-11,11:29:54 AM,205,1375,,,,,,,,
2016-08-11,9:29:00 AM,900,,,,,,,,,
2016-08-11,8:24:23 AM,,1118,,,,,,,,
2016-08-11,7:21:17 AM,645,,,,,,,,,
2016-08-11,5:53:55 AM,,808,,,,,,,,
2016-08-11,3:14:19 AM,,256,,,,,,,,
2016-08-11,2:46:17 AM,945,,,,,,,,,
2016-08-10,8:03:29 PM,717.0386,1200,,,,,,,,
2016-08-10,6:55:09 PM,483.2759,972,,,,,,,,
2016-08-10,5:46:53 PM,690.7674,,,,,,,,,
