Date,Time,L,R,Bottle,Amount,Breast,Formula,Food,Quantity,Response,Notes
2016-09-10,7:06:42 AM,853,,,,,,,,,
2016-09-10,4:04:09 AM,,421,,,,,,,,
2016-09-09,9:23:02 PM,149,,,,,,,,,
2016-09-09,8:24:05 PM,694,1255.728,,,,,,,,
2016-09-09,7:15:41 PM,773,,,,,,,,,
2016-09-09,5:27:21 PM,,769,,,,,,,,
2016-09-09,3:11:42 PM,525,,,,,,,,,
2016-09-09,2:04:57 PM,,860,,,,,,,,
2016-09-09,11:50:06 AM,676,,,,,,,,,
2016-09-09,10:35:41 AM,,840,,,,,,,,
2016-09-09,9:48:04 AM,690,,,,,,,,,
2016-09-09,9:01:42 AM,338,,,,,,,,,
2016-09-09,8:09:39 AM,,479,,,,,,,,
2016-09-09,7:16:12 AM,708,,,,,,,,,
2016-09-09,3:49:28 AM,200,946,,,,,,,,
2016-09-08,7:31:41 PM,900,987,,,,,,,,
2016-09-08,6:55:05 PM,600,,,,,,,,,
2016-09-08,5:43:58 PM,,693,,,,,,,,
2016-09-08,4:30:46 PM,360,,,,,,,,,
2016-09-08,4:11:35 PM,213,,,,,,,,,
2016-09-08,3:47:11 PM,,251,,,,,,,,
2016-09-08,2:52:58 PM,422,,,,,,,,,
2016-09-08,2:17:47 PM,,1245,,,,,,,,
2016-09-08,1:07:22 PM,277,,,,,,,,,
2016-09-08,12:31:23 PM,427,,,,,,,,,
2016-09-08,11:43:48 AM,,264,,,,,,,,
2016-09-08,10:46:43 AM,208,,,,,,,,,
2016-09-08,9:37:37 AM,441,860,,,,,,,,
2016-09-08,8:37:41 AM,196,372,,,,,,,,
2016-09-08,7:28:01 AM,510.5897,4.587491,,,,,,,,
2016-09-08,5:24:29 AM,155,529,,,,,,,,
2016-09-07,9:41:59 PM,527,,,,,,,,,
2016-09-07,8:43:54 PM,,194,,,,,,,,
2016-09-07,7:57:32 PM,700.0432,567,,,,,,,,
2016-09-07,7:04:36 PM,,1100,,,,,,,,
2016-09-07,5:45:01 PM,1136,,,,,,,,,
2016-09-07,4:49:43 PM,,898,,,,,,,,
2016-09-07,3:21:36 PM,720,,,,,,,,,
2016-09-07,2:20:58 PM,45,355,,,,,,,,
2016-09-07,1:31:24 PM,960,,,,,,,,,
2016-09-07,12:48:25 PM,860,,,,,,,,,
2016-09-07,10:39:40 AM,,617,,,,,,,,
