Date,Weight,Height,Head
2016-09-08,189.0000024776459,62,39.5
2016-09-06,188.0000057573318,60,39
2016-08-23,170.9999942321777,58,
2016-08-04,143.9999986839294,,
2016-07-11,109.0000041432381,,
2016-07-09,115.9999980053902,,
2016-07-08,123.0000002775192,51,36
